"id","gpa","hsm","hss","hse","satm","satv"
145,3,10,10,9,774,688
146,2.76,10,10,10,570,570
147,3.35,9,9,9,580,540
148,3.8,10,9,8,560,530
149,2.38,9,9,10,650,570
150,2.58,10,10,9,440,430
151,3.18,10,10,10,570,750
152,2.87,8,8,7,476,576
153,3.16,8,9,8,680,700
154,3.07,9,8,9,490,480
155,3.68,10,8,9,590,490
156,3.34,10,9,10,590,580
157,1.93,10,8,8,650,490
158,2.43,9,5,9,480,520
159,3.28,10,10,10,670,490
160,3.66,10,10,10,710,600
161,2.29,7,6,8,570,570
162,2.19,6,5,6,540,460
163,3.06,10,10,10,620,510
164,3.41,8,6,8,630,470
165,3.14,9,9,10,630,700
166,2.85,10,8,8,610,460
167,3.47,10,10,9,720,680
168,3.44,10,10,9,640,590
169,3.9,10,10,10,650,500
170,3.65,9,9,9,640,430
171,1.32,9,8,9,740,460
172,3.23,10,10,10,600,660
173,2.86,10,9,10,650,430
174,2.51,8,9,10,510,440
175,2.86,8,9,8,550,510
176,3.34,10,9,9,570,530
177,3.33,9,7,9,630,560
178,3.69,10,10,8,710,470
179,1.8,7,7,7,620,470
180,2.57,9,10,10,417,518
181,2.28,8,10,10,600,600
182,1.6,4,7,7,460,460
183,2,2,4,6,300,290
184,1.69,7,6,7,560,480
185,3.06,9,10,9,590,420
186,2.75,8,9,8,559,435
187,2.62,9,10,8,550,440
188,0.39,7,10,9,550,660
189,2.44,10,9,9,650,350
190,3.46,9,9,8,610,520
191,2.37,8,7,9,530,480
192,1.25,7,8,6,480,360
193,2.8,10,9,9,550,450
194,2.14,5,4,8,560,420
195,2.45,7,7,8,430,330
196,2.71,9,7,10,490,400
197,2.59,10,10,10,590,470
198,2.93,9,9,10,690,510
199,2.53,7,6,9,570,480
200,1.95,6,6,9,550,600
201,3.39,9,9,10,510,570
202,2.69,8,6,9,470,420
203,1.94,8,8,8,470,330
204,3,10,8,9,510,360
205,2.09,9,7,8,450,460
206,1.85,10,8,10,530,550
207,3.34,10,9,10,490,410
208,2.25,6,9,10,530,510
209,4,10,10,10,580,490
210,2.72,6,5,7,580,490
211,2.61,9,7,8,620,420
212,2.32,6,6,7,430,460
213,3.39,10,10,10,500,390
214,3.64,8,6,8,590,580
215,1.8,8,7,9,620,600
216,1.52,9,9,10,520,570
217,3.4,6,9,9,480,480
218,2.86,9,4,8,640,470
219,3.32,10,9,10,640,560
220,2.07,9,7,6,600,440
221,0.85,7,7,9,510,480
222,1.86,7,9,7,356,350
223,2.59,5,4,7,630,470
224,2.28,9,8,9,559,488
