SubNum,Trial,Order,IDAll,IDSI,IDSD,IDSI_NoSat,SouthernnessIndividual,Healthfulness,Tastiness,Fillingness,Want,Southernness,ConsHealthy,ConsFilling,ConsTasty
3,17,2,3.5714,3.5,3.75,3.1667,6,6,4,4,3,5.3038,5.6582,3.9241,4.1139
3,18,2,3.5714,3.5,3.75,3.1667,5,4,5,4,4,5.6835,4.7342,3.0127,6.0886
3,19,2,3.5714,3.5,3.75,3.1667,4,4,5,5,4,3.1139,2.7089,5.6282,6.1392
3,20,2,3.5714,3.5,3.75,3.1667,5,3,5,5,2,3.2785,2.0641,5.0759,6.0127
3,21,2,3.5714,3.5,3.75,3.1667,4,4,5,6,3,1.8228,2.519,6.0759,6.3165
3,22,2,3.5714,3.5,3.75,3.1667,6,2,5,5,1,2.6835,2.6835,4.0253,4.4557
3,23,2,3.5714,3.5,3.75,3.1667,4,3,5,5,3,3.038,2.0253,5.0506,6.2911
3,24,2,3.5714,3.5,3.75,3.1667,3,3,6,6,2,1.6962,2.3671,6.1772,6.1266
4,1,2,4.9286,4.9,5,4.8333,7,2,7,7,7,6.6709,2.2785,6.4304,6.6329
4,2,2,4.9286,4.9,5,4.8333,7,3,7,7,7,6.4557,3.3077,5.6329,5.557
4,3,2,4.9286,4.9,5,4.8333,2,2,4,3,5,5.9114,3.557,4.359,5.0886
4,4,2,4.9286,4.9,5,4.8333,7,2,7,7,7,6.5316,2.3544,6.3291,6.1013
4,5,2,4.9286,4.9,5,4.8333,7,1,7,7,7,6.0253,2.7468,5.2436,5.9241
4,6,2,4.9286,4.9,5,4.8333,7,2,7,3,5,6.5949,3.9114,3.0513,6.1266
4,7,2,4.9286,4.9,5,4.8333,5,6,6,6,6,3.2658,6.1266,5.8228,5.962
4,8,2,4.9286,4.9,5,4.8333,1,7,6,5,6,2.4231,6.1282,4.9231,5.2179
4,9,2,4.9286,4.9,5,4.8333,1,6,5,6,5,2.9114,4.8462,5.038,4.5696
4,10,2,4.9286,4.9,5,4.8333,2,5,5,7,5,2.8228,4.7468,5,4.7722
4,11,2,4.9286,4.9,5,4.8333,5,6,7,3,6,4.1013,5.7848,3.3165,5.962
4,12,2,4.9286,4.9,5,4.8333,1,7,6,5,6,2.481,6.6456,3.4937,4.6709
4,13,2,4.9286,4.9,5,4.8333,3,5,6,6,4,5.6329,5.0886,5.1013,3.9494
4,14,2,4.9286,4.9,5,4.8333,7,7,7,7,6,5.4051,5.4557,4.859,4.3544
4,15,2,4.9286,4.9,5,4.8333,7,6,7,7,7,5.7722,5.6962,5,6.0886
4,16,2,4.9286,4.9,5,4.8333,7,7,7,7,6,4.519,4.7179,5.5513,4.9241
4,17,2,4.9286,4.9,5,4.8333,5,6,5,3,5,5.3038,5.6582,3.9241,4.1139
4,18,2,4.9286,4.9,5,4.8333,7,3,7,3,2,5.6835,4.7342,3.0127,6.0886
4,19,2,4.9286,4.9,5,4.8333,2,2,7,7,5,3.1139,2.7089,5.6282,6.1392
4,20,2,4.9286,4.9,5,4.8333,3,1,7,6,7,3.2785,2.0641,5.0759,6.0127
4,21,2,4.9286,4.9,5,4.8333,2,2,7,7,7,1.8228,2.519,6.0759,6.3165
4,22,2,4.9286,4.9,5,4.8333,1,2,5,5,7,2.6835,2.6835,4.0253,4.4557
4,23,2,4.9286,4.9,5,4.8333,2,2,7,6,7,3.038,2.0253,5.0506,6.2911
4,24,2,4.9286,4.9,5,4.8333,1,2,5,7,3,1.6962,2.3671,6.1772,6.1266
5,1,1,4.7857,4.8,4.75,4.6667,7,1,7,7,7,6.6709,2.2785,6.4304,6.6329
5,2,1,4.7857,4.8,4.75,4.6667,7,1,7,7,6,6.4557,3.3077,5.6329,5.557
5,3,1,4.7857,4.8,4.75,4.6667,7,5,7,3,6,5.9114,3.557,4.359,5.0886
5,4,1,4.7857,4.8,4.75,4.6667,7,1,7,7,7,6.5316,2.3544,6.3291,6.1013
5,5,1,4.7857,4.8,4.75,4.6667,7,1,7,4,7,6.0253,2.7468,5.2436,5.9241
5,6,1,4.7857,4.8,4.75,4.6667,7,7,7,1,7,6.5949,3.9114,3.0513,6.1266
5,7,1,4.7857,4.8,4.75,4.6667,1,7,6,3,3,3.2658,6.1266,5.8228,5.962
5,8,1,4.7857,4.8,4.75,4.6667,1,7,5,2,3,2.4231,6.1282,4.9231,5.2179
5,9,1,4.7857,4.8,4.75,4.6667,1,7,1,3,1,2.9114,4.8462,5.038,4.5696
5,10,1,4.7857,4.8,4.75,4.6667,1,7,1,1,1,2.8228,4.7468,5,4.7722
5,11,1,4.7857,4.8,4.75,4.6667,5,7,7,1,4,4.1013,5.7848,3.3165,5.962
5,12,1,4.7857,4.8,4.75,4.6667,1,7,1,1,1,2.481,6.6456,3.4937,4.6709
5,13,1,4.7857,4.8,4.75,4.6667,7,7,6,7,5,5.6329,5.0886,5.1013,3.9494
5,14,1,4.7857,4.8,4.75,4.6667,7,7,7,7,6,5.4051,5.4557,4.859,4.3544
5,15,1,4.7857,4.8,4.75,4.6667,6,7,7,3,5,5.7722,5.6962,5,6.0886
5,16,1,4.7857,4.8,4.75,4.6667,6,3,6,6,6,4.519,4.7179,5.5513,4.9241
5,17,1,4.7857,4.8,4.75,4.6667,7,6,7,2,4,5.3038,5.6582,3.9241,4.1139
5,18,1,4.7857,4.8,4.75,4.6667,7,7,7,1,7,5.6835,4.7342,3.0127,6.0886
5,19,1,4.7857,4.8,4.75,4.6667,6,7,7,3,5,3.1139,2.7089,5.6282,6.1392
5,20,1,4.7857,4.8,4.75,4.6667,6,1,7,4,5,3.2785,2.0641,5.0759,6.0127
5,21,1,4.7857,4.8,4.75,4.6667,1,5,7,4,3,1.8228,2.519,6.0759,6.3165
5,22,1,4.7857,4.8,4.75,4.6667,3,1,7,1,4,2.6835,2.6835,4.0253,4.4557
5,23,1,4.7857,4.8,4.75,4.6667,6,1,7,5,7,3.038,2.0253,5.0506,6.2911
5,24,1,4.7857,4.8,4.75,4.6667,1,1,7,7,6,1.6962,2.3671,6.1772,6.1266
6,1,1,4,4.3,3.25,3.8333,7,3,7,7,4,6.6709,2.2785,6.4304,6.6329
6,2,1,4,4.3,3.25,3.8333,7,4,7,7,7,6.4557,3.3077,5.6329,5.557
6,3,1,4,4.3,3.25,3.8333,7,4,7,3,6,5.9114,3.557,4.359,5.0886
6,4,1,4,4.3,3.25,3.8333,7,2,7,7,1,6.5316,2.3544,6.3291,6.1013
6,5,1,4,4.3,3.25,3.8333,7,3,7,5,3,6.0253,2.7468,5.2436,5.9241
6,6,1,4,4.3,3.25,3.8333,7,4,7,2,7,6.5949,3.9114,3.0513,6.1266
6,7,1,4,4.3,3.25,3.8333,5,7,7,7,6,3.2658,6.1266,5.8228,5.962
6,8,1,4,4.3,3.25,3.8333,3,7,7,7,5,2.4231,6.1282,4.9231,5.2179
6,9,1,4,4.3,3.25,3.8333,5,4,7,5,5,2.9114,4.8462,5.038,4.5696
6,10,1,4,4.3,3.25,3.8333,2,7,7,7,6,2.8228,4.7468,5,4.7722
6,11,1,4,4.3,3.25,3.8333,5,7,7,7,7,4.1013,5.7848,3.3165,5.962
6,12,1,4,4.3,3.25,3.8333,2,7,6,4,3,2.481,6.6456,3.4937,4.6709
6,13,1,4,4.3,3.25,3.8333,5,7,3,6,1,5.6329,5.0886,5.1013,3.9494
6,14,1,4,4.3,3.25,3.8333,7,7,1,6,1,5.4051,5.4557,4.859,4.3544
6,15,1,4,4.3,3.25,3.8333,7,7,7,7,1,5.7722,5.6962,5,6.0886
6,16,1,4,4.3,3.25,3.8333,4,5,4,5,4,4.519,4.7179,5.5513,4.9241
6,17,1,4,4.3,3.25,3.8333,7,7,7,5,1,5.3038,5.6582,3.9241,4.1139
6,18,1,4,4.3,3.25,3.8333,7,6,7,4,7,5.6835,4.7342,3.0127,6.0886
6,19,1,4,4.3,3.25,3.8333,6,2,7,7,5,3.1139,2.7089,5.6282,6.1392
6,20,1,4,4.3,3.25,3.8333,5,2,7,7,6,3.2785,2.0641,5.0759,6.0127
6,21,1,4,4.3,3.25,3.8333,1,2,7,5,6,1.8228,2.519,6.0759,6.3165
6,22,1,4,4.3,3.25,3.8333,3,3,7,7,7,2.6835,2.6835,4.0253,4.4557
6,23,1,4,4.3,3.25,3.8333,4,1,6,6,2,3.038,2.0253,5.0506,6.2911
6,24,1,4,4.3,3.25,3.8333,1,1,5,5,3,1.6962,2.3671,6.1772,6.1266
7,1,1,3.1429,3.4,2.5,3,6,1,6,6,6,6.6709,2.2785,6.4304,6.6329
7,2,1,3.1429,3.4,2.5,3,6,2,6,6,5,6.4557,3.3077,5.6329,5.557
7,3,1,3.1429,3.4,2.5,3,6,3,4,3,3,5.9114,3.557,4.359,5.0886
7,4,1,3.1429,3.4,2.5,3,7,2,3,4,3,6.5316,2.3544,6.3291,6.1013
7,5,1,3.1429,3.4,2.5,3,7,2,6,5,6,6.0253,2.7468,5.2436,5.9241
7,6,1,3.1429,3.4,2.5,3,7,2,4,2,2,6.5949,3.9114,3.0513,6.1266
7,7,1,3.1429,3.4,2.5,3,1,5,6,6,4,3.2658,6.1266,5.8228,5.962
7,8,1,3.1429,3.4,2.5,3,3,6,6,5,7,2.4231,6.1282,4.9231,5.2179
7,9,1,3.1429,3.4,2.5,3,2,4,4,5,4,2.9114,4.8462,5.038,4.5696
7,10,1,3.1429,3.4,2.5,3,3,3,3,4,2,2.8228,4.7468,5,4.7722
7,11,1,3.1429,3.4,2.5,3,7,7,6,6,4,4.1013,5.7848,3.3165,5.962
7,12,1,3.1429,3.4,2.5,3,1,7,5,6,2,2.481,6.6456,3.4937,4.6709
7,13,1,3.1429,3.4,2.5,3,5,6,4,5,2,5.6329,5.0886,5.1013,3.9494
7,14,1,3.1429,3.4,2.5,3,3,5,4,5,2,5.4051,5.4557,4.859,4.3544
7,15,1,3.1429,3.4,2.5,3,5,6,5,5,3,5.7722,5.6962,5,6.0886
7,16,1,3.1429,3.4,2.5,3,3,5,4,6,3,4.519,4.7179,5.5513,4.9241
7,17,1,3.1429,3.4,2.5,3,4,5,3,3,2,5.3038,5.6582,3.9241,4.1139
7,18,1,3.1429,3.4,2.5,3,6,5,5,3,3,5.6835,4.7342,3.0127,6.0886
7,19,1,3.1429,3.4,2.5,3,2,1,5,6,5,3.1139,2.7089,5.6282,6.1392
7,20,1,3.1429,3.4,2.5,3,3,3,4,4,5,3.2785,2.0641,5.0759,6.0127
7,21,1,3.1429,3.4,2.5,3,2,2,5,6,4,1.8228,2.519,6.0759,6.3165
7,22,1,3.1429,3.4,2.5,3,2,1,3,2,2,2.6835,2.6835,4.0253,4.4557
7,23,1,3.1429,3.4,2.5,3,1,1,5,6,4,3.038,2.0253,5.0506,6.2911
7,24,1,3.1429,3.4,2.5,3,1,2,6,7,7,1.6962,2.3671,6.1772,6.1266
8,1,1,2.5,2.4,2.75,2.1667,6,2,6,6,6,6.6709,2.2785,6.4304,6.6329
8,2,1,2.5,2.4,2.75,2.1667,5,4,4,5,2,6.4557,3.3077,5.6329,5.557
8,3,1,2.5,2.4,2.75,2.1667,4,5,4,5,3,5.9114,3.557,4.359,5.0886
8,4,1,2.5,2.4,2.75,2.1667,6,2,6,6,5,6.5316,2.3544,6.3291,6.1013
8,5,1,2.5,2.4,2.75,2.1667,7,2,7,7,7,6.0253,2.7468,5.2436,5.9241
8,6,1,2.5,2.4,2.75,2.1667,5,6,5,1,4,6.5949,3.9114,3.0513,6.1266
8,7,1,2.5,2.4,2.75,2.1667,2,6,4,5,4,3.2658,6.1266,5.8228,5.962
8,8,1,2.5,2.4,2.75,2.1667,2,6,2,5,2,2.4231,6.1282,4.9231,5.2179
8,9,1,2.5,2.4,2.75,2.1667,1,4,4,4,1,2.9114,4.8462,5.038,4.5696
8,10,1,2.5,2.4,2.75,2.1667,1,3,4,3,2,2.8228,4.7468,5,4.7722
8,11,1,2.5,2.4,2.75,2.1667,2,2,2,1,1,4.1013,5.7848,3.3165,5.962
8,12,1,2.5,2.4,2.75,2.1667,2,6,2,4,1,2.481,6.6456,3.4937,4.6709
8,13,1,2.5,2.4,2.75,2.1667,5,3,4,5,2,5.6329,5.0886,5.1013,3.9494
8,14,1,2.5,2.4,2.75,2.1667,5,5,6,5,4,5.4051,5.4557,4.859,4.3544
8,15,1,2.5,2.4,2.75,2.1667,4,4,5,4,5,5.7722,5.6962,5,6.0886
8,16,1,2.5,2.4,2.75,2.1667,2,5,4,4,3,4.519,4.7179,5.5513,4.9241
8,17,1,2.5,2.4,2.75,2.1667,4,4,4,4,2,5.3038,5.6582,3.9241,4.1139
8,18,1,2.5,2.4,2.75,2.1667,4,3,5,1,4,5.6835,4.7342,3.0127,6.0886
8,19,1,2.5,2.4,2.75,2.1667,1,3,6,4,4,3.1139,2.7089,5.6282,6.1392
8,20,1,2.5,2.4,2.75,2.1667,1,2,6,6,4,3.2785,2.0641,5.0759,6.0127
8,21,1,2.5,2.4,2.75,2.1667,1,2,6,4,4,1.8228,2.519,6.0759,6.3165
8,22,1,2.5,2.4,2.75,2.1667,1,2,2,3,1,2.6835,2.6835,4.0253,4.4557
8,23,1,2.5,2.4,2.75,2.1667,2,2,6,4,5,3.038,2.0253,5.0506,6.2911
8,24,1,2.5,2.4,2.75,2.1667,1,2,5,5,3,1.6962,2.3671,6.1772,6.1266
9,1,1,4.0714,4,4.25,3.3333,7,2,7,7,6,6.6709,2.2785,6.4304,6.6329
9,2,1,4.0714,4,4.25,3.3333,7,3,7,7,6,6.4557,3.3077,5.6329,5.557
9,3,1,4.0714,4,4.25,3.3333,7,5,6,5,3,5.9114,3.557,4.359,5.0886
9,4,1,4.0714,4,4.25,3.3333,7,3,7,7,5,6.5316,2.3544,6.3291,6.1013
9,5,1,4.0714,4,4.25,3.3333,7,3,6,7,3,6.0253,2.7468,5.2436,5.9241
9,6,1,4.0714,4,4.25,3.3333,7,3,7,4,7,6.5949,3.9114,3.0513,6.1266
9,7,1,4.0714,4,4.25,3.3333,3,6,7,6,6,3.2658,6.1266,5.8228,5.962
9,8,1,4.0714,4,4.25,3.3333,2,7,6,6,3,2.4231,6.1282,4.9231,5.2179
9,9,1,4.0714,4,4.25,3.3333,5,5,4,5,1,2.9114,4.8462,5.038,4.5696
9,10,1,4.0714,4,4.25,3.3333,2,6,5,6,3,2.8228,4.7468,5,4.7722
9,11,1,4.0714,4,4.25,3.3333,4,6,6,5,6,4.1013,5.7848,3.3165,5.962
9,12,1,4.0714,4,4.25,3.3333,5,6,7,5,6,2.481,6.6456,3.4937,4.6709
9,13,1,4.0714,4,4.25,3.3333,5,5,3,4,1,5.6329,5.0886,5.1013,3.9494
9,14,1,4.0714,4,4.25,3.3333,7,6,7,6,5,5.4051,5.4557,4.859,4.3544
9,15,1,4.0714,4,4.25,3.3333,7,6,7,6,6,5.7722,5.6962,5,6.0886
9,16,1,4.0714,4,4.25,3.3333,4,4,6,6,4,4.519,4.7179,5.5513,4.9241
9,17,1,4.0714,4,4.25,3.3333,4,7,5,5,4,5.3038,5.6582,3.9241,4.1139
9,18,1,4.0714,4,4.25,3.3333,7,6,7,5,5,5.6835,4.7342,3.0127,6.0886
9,19,1,4.0714,4,4.25,3.3333,5,4,7,6,4,3.1139,2.7089,5.6282,6.1392
9,20,1,4.0714,4,4.25,3.3333,4,3,6,6,7,3.2785,2.0641,5.0759,6.0127
9,21,1,4.0714,4,4.25,3.3333,2,2,7,7,5,1.8228,2.519,6.0759,6.3165
9,22,1,4.0714,4,4.25,3.3333,2,2,4,6,1,2.6835,2.6835,4.0253,4.4557
9,23,1,4.0714,4,4.25,3.3333,5,3,7,6,7,3.038,2.0253,5.0506,6.2911
9,24,1,4.0714,4,4.25,3.3333,2,4,6,6,5,1.6962,2.3671,6.1772,6.1266
10,1,2,4,4.6,2.5,4.5,7,2,7,7,7,6.6709,2.2785,6.4304,6.6329
10,2,2,4,4.6,2.5,4.5,7,3,6,6,7,6.4557,3.3077,5.6329,5.557
10,3,2,4,4.6,2.5,4.5,6,3,6,4,3,5.9114,3.557,4.359,5.0886
10,4,2,4,4.6,2.5,4.5,6,1,7,7,7,6.5316,2.3544,6.3291,6.1013
10,5,2,4,4.6,2.5,4.5,7,2,7,5,6,6.0253,2.7468,5.2436,5.9241
10,6,2,4,4.6,2.5,4.5,7,2,6,6,5,6.5949,3.9114,3.0513,6.1266
10,7,2,4,4.6,2.5,4.5,5,6,6,4,5,3.2658,6.1266,5.8228,5.962
10,8,2,4,4.6,2.5,4.5,1,6,6,6,7,2.4231,6.1282,4.9231,5.2179
10,9,2,4,4.6,2.5,4.5,5,5,4,6,4,2.9114,4.8462,5.038,4.5696
10,10,2,4,4.6,2.5,4.5,2,4,3,5,2,2.8228,4.7468,5,4.7722
10,11,2,4,4.6,2.5,4.5,4,5,5,3,2,4.1013,5.7848,3.3165,5.962
10,12,2,4,4.6,2.5,4.5,4,6,3,3,1,2.481,6.6456,3.4937,4.6709
10,13,2,4,4.6,2.5,4.5,3,4,1,4,1,5.6329,5.0886,5.1013,3.9494
10,14,2,4,4.6,2.5,4.5,7,5,6,NaN,6,5.4051,5.4557,4.859,4.3544
10,15,2,4,4.6,2.5,4.5,6,5,5,4,3,5.7722,5.6962,5,6.0886
10,16,2,4,4.6,2.5,4.5,5,4,6,6,5,4.519,4.7179,5.5513,4.9241
10,17,2,4,4.6,2.5,4.5,6,7,5,3,3,5.3038,5.6582,3.9241,4.1139
10,18,2,4,4.6,2.5,4.5,6,3,5,5,2,5.6835,4.7342,3.0127,6.0886
10,19,2,4,4.6,2.5,4.5,5,2,7,7,2,3.1139,2.7089,5.6282,6.1392
10,20,2,4,4.6,2.5,4.5,2,1,4,5,1,3.2785,2.0641,5.0759,6.0127
10,21,2,4,4.6,2.5,4.5,2,2,7,5,4,1.8228,2.519,6.0759,6.3165
10,22,2,4,4.6,2.5,4.5,1,2,3,3,3,2.6835,2.6835,4.0253,4.4557
10,23,2,4,4.6,2.5,4.5,3,1,7,2,2,3.038,2.0253,5.0506,6.2911
10,24,2,4,4.6,2.5,4.5,3,2,6,6,5,1.6962,2.3671,6.1772,6.1266
11,1,2,2.5714,2.6,2.5,2,7,2,7,7,6,6.6709,2.2785,6.4304,6.6329
11,2,2,2.5714,2.6,2.5,2,7,4,2,5,1,6.4557,3.3077,5.6329,5.557
11,3,2,2.5714,2.6,2.5,2,7,4,5,5,6,5.9114,3.557,4.359,5.0886
11,4,2,2.5714,2.6,2.5,2,6,1,7,7,7,6.5316,2.3544,6.3291,6.1013
11,5,2,2.5714,2.6,2.5,2,7,1,5,6,3,6.0253,2.7468,5.2436,5.9241
11,6,2,2.5714,2.6,2.5,2,7,2,4,3,3,6.5949,3.9114,3.0513,6.1266
11,7,2,2.5714,2.6,2.5,2,1,6,7,7,7,3.2658,6.1266,5.8228,5.962
11,8,2,2.5714,2.6,2.5,2,1,6,2,5,1,2.4231,6.1282,4.9231,5.2179
11,9,2,2.5714,2.6,2.5,2,1,4,1,5,1,2.9114,4.8462,5.038,4.5696
11,10,2,2.5714,2.6,2.5,2,2,5,7,7,7,2.8228,4.7468,5,4.7722
11,11,2,2.5714,2.6,2.5,2,1,6,7,3,6,4.1013,5.7848,3.3165,5.962
11,12,2,2.5714,2.6,2.5,2,1,7,6,4,5,2.481,6.6456,3.4937,4.6709
11,13,2,2.5714,2.6,2.5,2,6,4,4,7,2,5.6329,5.0886,5.1013,3.9494
11,14,2,2.5714,2.6,2.5,2,7,6,3,5,3,5.4051,5.4557,4.859,4.3544
11,15,2,2.5714,2.6,2.5,2,4,6,2,4,1,5.7722,5.6962,5,6.0886
11,16,2,2.5714,2.6,2.5,2,4,6,5,7,6,4.519,4.7179,5.5513,4.9241
11,17,2,2.5714,2.6,2.5,2,6,6,5,4,6,5.3038,5.6582,3.9241,4.1139
11,18,2,2.5714,2.6,2.5,2,5,3,7,2,7,5.6835,4.7342,3.0127,6.0886
11,19,2,2.5714,2.6,2.5,2,1,1,7,7,7,3.1139,2.7089,5.6282,6.1392
11,20,2,2.5714,2.6,2.5,2,1,1,7,7,5,3.2785,2.0641,5.0759,6.0127
11,21,2,2.5714,2.6,2.5,2,1,2,7,7,7,1.8228,2.519,6.0759,6.3165
11,22,2,2.5714,2.6,2.5,2,1,2,4,4,1,2.6835,2.6835,4.0253,4.4557
11,23,2,2.5714,2.6,2.5,2,1,1,6,6,1,3.038,2.0253,5.0506,6.2911
11,24,2,2.5714,2.6,2.5,2,1,2,7,7,7,1.6962,2.3671,6.1772,6.1266
12,1,1,4,4.1,3.75,3.8333,6,3,5,5,6,6.6709,2.2785,6.4304,6.6329
12,2,1,4,4.1,3.75,3.8333,6,4,6,5,6,6.4557,3.3077,5.6329,5.557
12,3,1,4,4.1,3.75,3.8333,7,4,5,3,5,5.9114,3.557,4.359,5.0886
12,4,1,4,4.1,3.75,3.8333,5,3,5,5,6,6.5316,2.3544,6.3291,6.1013
12,5,1,4,4.1,3.75,3.8333,6,4,5,4,4,6.0253,2.7468,5.2436,5.9241
12,6,1,4,4.1,3.75,3.8333,7,4,6,2,6,6.5949,3.9114,3.0513,6.1266
