"Set_Name","Pieces","Price","Minifigures","Weight","Unique_Pieces"
"Stormbringer",493,39.99,4,0.68,182
"Cole's Earth Driller",587,49.99,4,0.95,216
"Passenger Airplane",669,99.99,9,1.77,288
"Pirate Ship",1264,99.99,4,2.04,359
"Sweet Mayhem's Systar Starship!",502,69.99,3,0.91,188
"Crocodile Locomotive",1271,99.99,2,1.54,212
"Hogwarts Great Hall",878,99.99,10,1.66,284
"Gingerbread House",1477,99.99,2,1.45,321
"Rex's Rexplorer!",1187,119.99,2,1.66,299
"Police Station",743,99.99,7,1.85,298
"Tuning Workshop",897,99.99,7,1.63,411
"Imperial AT-Hauler",829,99.99,5,1.4,206
"Arctic Supply Plane",707,79.99,4,1.21,239
"Ninja Nightcrawler",552,39.99,3,0.77,205
"Imperial Conveyex Transport",622,89.99,4,1.01,187
"Speed Force Freeze Pursuit",271,29.99,4,0.46,138
"Firstbourne",882,69.99,6,1.29,337
"Cargo Train",105,119.99,3,2.86,68
"Ferrari Ultimate Garage",841,99.99,7,1.25,309
"Passenger Train",677,159.99,4,2.05,165
"Rocket Assembly &Transport",1055,149.99,8,2.38,364
"Carnotaurus Gyrosphere Escape",577,79.99,3,1.19,226
"App-Controlled Batmobile",321,99.99,1,0.82,114
"Mia's Camper Van",488,54.99,2,0.91,222
"Mountain Police Headquarters",663,89.99,7,1.73,324
"Droid Gunship",389,49.99,3,0.65,150
"Ocean Exploration Ship",745,149.99,8,2.28,314
"Arctic Mobile Exploration Base",786,119.99,6,1.56,255
"Cinderella's Dream Castle",585,69.99,2,1.14,218
"Heartlake City Pet Centre",474,59.99,3,0.99,234
"The Bedrock Adventures",644,89.99,4,1.27,168
"X-wing Starfighter",730,79.99,4,1.06,224
"Pirate Roller Coaster",923,89.99,5,1.94,277
"Imperial Landing Craft",636,89.99,5,1.17,191
"Bookshop",2504,179.99,5,2.95,561
"Cargo Train",1227,229.99,6,3.03,410
"Friendship House",722,69.99,3,1.14,309
"Vestas Wind Turbine",826,199.99,3,2.16,230
"Dragon Pit",1660,129.99,9,2.65,424
"Sanctum Sanctorum Showdown",1004,99.99,5,1.59,312
"Corner Garage",2569,199.99,6,3.04,564
"Pirates of Barracuda Bay",2545,199.99,10,4.43,575
"Imperial TIE Fighter",519,69.99,4,0.89,129
"Indoraptor Rampage at Lockwood Estate",1019,129.99,6,1.89,257
"City Hospital",861,99.99,13,1.67,362
"Dieselnaut",1179,109.99,7,1.75,308
"Sandcrawler",1239,139.99,6,1.77,277
"Heartlake City Resort",1017,99.99,4,1.95,326
"Mining Experts Site",883,99.99,6,1.89,284
"Capital City",1211,149.99,13,2.42,489
"Kessel Run Millennium Falcon",1414,169.99,7,2.57,318
"Roller Coaster",4124,379.99,11,5.8,556
"NINJAGO City Docks",3553,229.99,14,4.61,690
